label,scenario,peak_rss_kib_min_of_3
CPython-3.12.13,bare,10928
CPython-3.12.13,stdlib_imports,19752
CPython-3.12.13,list_1M_ints,50096
CPython-3.13.13,bare,10272
CPython-3.13.13,stdlib_imports,19252
CPython-3.13.13,list_1M_ints,49544
CPython-3.14.4-system,bare,9904
CPython-3.14.4-system,stdlib_imports,20428
CPython-3.14.4-system,list_1M_ints,49004
PyPy-7.3.22-py3.11,bare,61988
PyPy-7.3.22-py3.11,stdlib_imports,82024
PyPy-7.3.22-py3.11,list_1M_ints,73548
MicroPython-1.28.0,bare,2704
MicroPython-1.28.0,stdlib_imports,NA_no_importlib
MicroPython-1.28.0,list_1M_ints,3692
RustPython-git,bare,27920
RustPython-git,stdlib_imports,42832
RustPython-git,list_1M_ints,144676
