== census_summary ==
metric,value
total_modules,1288
top_level_packages,252
vmrss_kib_warm,117880
== census_per_package ==
top_package,module_count,code_bytes
frappe,176,4129904
redis,57,1716964
pydantic,42,1002826
asyncio,30,783087
cssutils,40,740532
werkzeug,33,687401
pypdf,48,681022
xml,20,468337
unittest,10,429251
click,12,424664
yaml,18,386498
PIL,17,371232
pypika,7,365989
urllib3,28,344687
more_itertools,3,329083
html5lib,13,319687
http,5,303005
rq,25,298104
email,15,290730
passlib,15,287548
requests,92,286147
bs4,14,268446
encodings,97,235892
psutil,6,230299
logging,2,220309
dateutil,11,205724
sqlparse,20,193981
urllib,5,193868
soupsieve,7,191458
inspect,1,185359
zipfile,3,181300
argparse,1,150557
typing,1,146328
filetype,15,143816
importlib,22,139885
re,5,130144
pickle,1,128416
lxml,3,115625
pydantic_core,3,111791
chardet,43,108578
collections,2,107149
traceback,1,104699
pathlib,2,103801
tenacity,11,103623
enum,1,102890
shutil,1,96077
difflib,1,89746
threading,1,87716
subprocess,1,85156
configparser,1,84989
_frozen_importlib_external,1,83154
dataclasses,1,79238
ipaddress,1,72436
platform,1,71071
calendar,1,70277
_frozen_importlib,1,69999
dis,1,68975
ssl,1,61963
codecs,1,58046
markdownify,1,57835
filelock,10,57700
charset_normalizer,9,56751
multiprocessing,4,55801
pytz,5,55165
json,4,54012
_collections_abc,1,53795
_py_warnings,1,53564
functools,1,53424
os,2,51597
annotated_types,1,51019
gzip,1,50493
semantic_version,2,49650
random,1,49477
mimetypes,1,49284
uuid,1,49046
_colorize,1,48327
concurrent,3,48010
site,1,45432
pprint,1,45346
sysconfig,1,44541
socket,1,44038
compression,5,43913
croniter,2,42606
cryptography,20,41821
ast,1,40964
zipimport,1,39257
socketserver,1,37409
locale,1,36521
gettext,1,35760
tempfile,1,35659
base64,1,35132
html,3,34976
contextlib,1,34565
tokenize,1,34190
weakref,1,33754
glob,1,33554
typing_extensions,1,33286
ntpath,1,31653
annotationlib,1,31551
RestrictedPython,9,29944
six,3,28091
ctypes,2,28036
encutils,1,27511
selectors,1,26707
posixpath,1,24476
__main__,1,23935
typing_inspection,3,23288
queue,1,23276
pkgutil,1,22634
code,1,20868
textwrap,1,20710
zoneinfo,3,20480
bz2,1,20471
_markupbase,1,20424
numbers,1,20334
sql_metadata,6,20065
lzma,1,19070
_weakrefset,1,17653
timeit,1,17563
packaging,2,17254
hmac,1,15904
types,1,15851
string,1,15382
reprlib,1,15348
quopri,1,15037
webencodings,2,14610
linecache,1,13801
pdfkit,5,12949
genericpath,1,12258
copyreg,1,12003
heapq,1,11706
fnmatch,1,10752
copy,1,10304
stringprep,1,9955
hashlib,1,7763
abc,1,7711
markupsafe,2,7621
colorsys,1,7563
_sitebuiltins,1,7526
csv,1,7409
codeop,1,5566
signal,1,4762
_virtualenv,1,3994
sys,1,3916
fractions,1,3106
secrets,1,2930
__future__,1,2062
sqlite3,2,1521
certifi,2,1117
token,1,1071
io,1,951
warnings,1,742
_cython_3_2_4,1,145
_cython_3_1_4,1,145
builtins,1,0
_imp,1,0
_thread,1,0
_warnings,1,0
_weakref,1,0
_io,1,0
marshal,1,0
posix,1,0
time,1,0
_codecs,1,0
_signal,1,0
_abc,1,0
_stat,1,0
stat,1,0
errno,1,0
_contextvars,1,0
itertools,1,0
keyword,1,0
_operator,1,0
operator,1,0
_collections,1,0
_types,1,0
_functools,1,0
_sre,1,0
_tokenize,1,0
sitecustomize,1,0
gc,1,0
_ast,1,0
_opcode,1,0
_opcode_metadata,1,0
opcode,1,0
_json,1,0
_typing,1,0
_datetime,1,0
datetime,1,0
_uuid,1,0
orjson,2,0
math,1,0
select,1,0
_socket,1,0
binascii,1,0
_string,1,0
_struct,1,0
struct,1,0
_ssl,1,0
zlib,1,0
_bz2,1,0
_lzma,1,0
_zstd,1,0
atexit,1,0
_hashlib,1,0
_blake2,1,0
_bisect,1,0
bisect,1,0
_random,1,0
unicodedata,1,0
_hmac,1,0
pwd,1,0
grp,1,0
fcntl,1,0
_locale,1,0
_sysconfigdata__linux_x86_64-linux-gnu,1,0
_zoneinfo,1,0
_decimal,1,0
decimal,1,0
nh3,2,0
bleach_allowlist,2,0
contextvars,1,0
_heapq,1,0
_interpreters,1,0
_posixsubprocess,1,0
_asyncio,1,0
faulthandler,1,0
resource,1,0
hiredis,3,0
_queue,1,0
_ctypes,1,0
_compat_pickle,1,0
_pickle,1,0
array,1,0
__mp_main__,1,0
_sqlite3,1,0
81d243bd2c585b0f4821__mypyc,1,0
_multibytecodec,1,0
_codecs_tw,1,0
_codecs_hk,1,0
_codecs_jp,1,0
_codecs_kr,1,0
_codecs_cn,1,0
_codecs_iso2022,1,0
idna,5,0
pyexpat,3,0
_elementtree,1,0
cython_runtime,1,0
_csv,1,0
google,1,0
_cffi_backend,1,0
_openssl,2,0
