run,step,vmrss_kib,vmhwm_kib,delta_kib,modules_loaded
1,00_interpreter_start,12472,12472,,64
1,01_stdlib_core,13836,13836,1364,84
1,02_orjson,14384,14384,548,92
1,03_werkzeug_headers,29048,29048,14664,205
1,04_import_frappe,60756,60756,31708,589
1,05_frappe_init,62848,63140,2092,606
1,06_frappe_connect,63136,63140,288,612
1,07_get_meta_User,113064,113064,49928,1288
1,08_get_meta_DocType,113152,113152,88,1288
1,09_get_meta_18_more,117032,117032,3880,1288
1,10_get_all_User,117036,117036,4,1288
2,00_interpreter_start,12472,12472,,64
2,01_stdlib_core,13836,13836,1364,84
2,02_orjson,14360,14360,524,92
2,03_werkzeug_headers,29056,29056,14696,205
2,04_import_frappe,61056,61056,32000,589
2,05_frappe_init,63148,63624,2092,606
2,06_frappe_connect,63436,63624,288,612
2,07_get_meta_User,113544,113544,50108,1288
2,08_get_meta_DocType,113640,113640,96,1288
2,09_get_meta_18_more,117480,117480,3840,1288
2,10_get_all_User,117484,117484,4,1288
3,00_interpreter_start,12472,12472,,64
3,01_stdlib_core,13836,13836,1364,84
3,02_orjson,14384,14384,548,92
3,03_werkzeug_headers,29048,29048,14664,205
3,04_import_frappe,60904,60904,31856,589
3,05_frappe_init,62996,63344,2092,606
3,06_frappe_connect,63284,63344,288,612
3,07_get_meta_User,113264,113264,49980,1288
3,08_get_meta_DocType,113356,113356,92,1288
3,09_get_meta_18_more,117188,117188,3832,1288
3,10_get_all_User,117192,117192,4,1288
