== tracemalloc_per_package ==
package,bytes_after_import,bytes_after_warm,delta_warm_minus_import,blocks_warm
interp:<frozen importlib._bootstrap_external>,19920157,35748895,15828738,337126
stdlib:enum,543733,2860628,2316895,5049
interp:<frozen importlib._bootstrap>,1160725,2817186,1656461,28253
frappe.model,150477,2047310,1896833,5892
interp:<frozen abc>,866492,1457170,590678,6029
stdlib:encodings,0,1435656,1435656,5141
site:redis,1035501,1309544,274043,8234
site:chardet,0,1259830,1259830,1878
site:pypdf,0,1229294,1229294,4910
stdlib:typing,816933,968340,151407,5936
site:pydantic,530014,855908,325894,4675
frappe.database,59292,852904,793612,12828
site:werkzeug,787224,787280,56,4711
site:pypika,749230,750773,1543,4469
site:cssutils,0,721640,721640,3763
stdlib:logging,98157,699866,601709,919
stdlib:dataclasses,370448,677370,306922,5812
site:bs4,0,625558,625558,4199
frappe.utils,252038,456630,204592,2640
stdlib:collections,342089,442067,99978,4092
frappe.__root__,263442,420919,157477,3174
stdlib:re,75690,379031,303341,1145
stdlib:asyncio,378970,378970,0,1909
site:charset_normalizer,0,369308,369308,2075
stdlib:xml,0,341964,341964,1709
site:html5lib,0,338887,338887,2017
site:urllib3,0,338876,338876,1723
site:rq,337108,337056,-52,1975
stdlib:annotationlib,274297,336382,62085,3092
site:yaml,0,302711,302711,1467
site:click,300291,300003,-288,1441
site:filetype,289590,289590,0,1231
stdlib:unittest,262708,262708,0,1228
site:passlib,0,245558,245558,1450
site:soupsieve,0,243340,243340,2228
site:PIL,0,226874,226874,1280
stdlib:http,124519,201329,76810,1221
site:sqlparse,0,194699,194699,942
stdlib:importlib,147947,191000,43053,1505
stdlib:email,184853,184853,0,1090
site:requests,0,177377,177377,878
interp:<frozen codecs>,0,161064,161064,53
site:dateutil,158146,157858,-288,832
stdlib:urllib,153900,153982,82,745
stdlib:functools,79031,148845,69814,1613
stdlib:ctypes,148506,148506,0,698
stdlib:configparser,0,139022,139022,345
frappe.query_builder,128592,129792,1200,634
site:psutil,164554,127666,-36888,1089
interp:<string>,64176,124264,60088,1105
site:pydantic_core,114826,122394,7568,1318
site:cryptography,699,113889,113190,614
site:pytz,0,113427,113427,736
site:tenacity,110120,112392,2272,804
site:more_itertools,0,109280,109280,466
stdlib:html,94184,103826,9642,219
stdlib:argparse,102971,102971,0,454
stdlib:ipaddress,98370,98370,0,732
frappe.core,27403,91699,64296,409
stdlib:pathlib,89904,90943,1039,746
site:typing_extensions,64859,89537,24678,338
stdlib:zipfile,82132,82132,0,424
frappe.desk,7384,79965,72581,420
stdlib:multiprocessing,76855,76855,0,433
site:six,76725,76725,0,450
stdlib:inspect,67692,68660,968,454
